id_pagamento,id_contrato,numero_parcela,data_vencimento,data_pagamento,valor_parcela,valor_pago,forma_pagamento,indicador_contemplado,dias_atraso,pagamento_em_dia,percentual_pago,nome_assessoria,data_envio_assessoria,dias_em_atraso_inicial,valor_inadimplente_inicial,status_cobranca,score_interno_risco,regiao_cliente
PAG_0000001,CONTR_2026_07271,53,2025-06-27,2025-10-11,850,896.73,Boleto,Não,106.0,False,1.0549764705882354,Vértice Asset & Cobrança,2026-04-14,100,4475.5,Em Aberto,26.0,Sul
PAG_0000002,CONTR_2026_00861,12,2025-07-02,2025-06-29,850,850.0,Boleto,Sim,-3.0,True,1.0,Acerta Crédito Integrado,2026-01-29,135,2092.29,Em Aberto,2.0,Sudeste
PAG_0000003,CONTR_2026_05391,54,2026-01-24,2026-01-19,450,450.0,Boleto,Não,-5.0,True,1.0,Fênix Recuperação de Crédito,2026-01-22,73,8171.81,Em Aberto,85.0,Nordeste
PAG_0000004,CONTR_2026_05192,42,2025-12-03,2026-01-07,1500,1547.32,Boleto,Não,35.0,False,1.0315466666666666,Acerta Crédito Integrado,2026-01-17,109,11357.39,Acordo Firmado,6.0,Centro-Oeste
PAG_0000005,CONTR_2026_05735,6,2026-01-19,2026-01-14,1500,1500.0,Pix,Não,-5.0,True,1.0,Nexus Mediação Financeira,2026-01-08,114,6552.86,Acordo Firmado,89.0,Centro-Oeste
PAG_0000006,CONTR_2026_06266,55,2025-10-28,2025-10-28,600,600.0,Boleto,Não,0.0,True,1.0,Nexus Mediação Financeira,2026-02-14,107,6425.93,Acordo Firmado,77.0,Nordeste
PAG_0000007,CONTR_2026_00467,35,2025-01-11,2025-01-06,1200,1200.0,Boleto,Não,-5.0,True,1.0,Vértice Asset & Cobrança,2026-01-13,112,2550.11,Em Aberto,16.0,Centro-Oeste
PAG_0000008,CONTR_2026_04427,11,2025-05-06,2025-06-15,450,464.94,Boleto,Não,40.0,False,1.0332,Fênix Recuperação de Crédito,2026-04-02,112,1824.98,Acordo Firmado,50.0,Nordeste
PAG_0000009,CONTR_2026_05579,1,2026-02-10,,850,0.0,Pix,Não,0.0,True,0.0,fênix recuperação de crédito,2026-04-15,127,4577.41,Ajuizado,48.0,Nordeste
PAG_0000010,CONTR_2026_08323,1,2025-06-21,2025-06-18,850,850.0,Boleto,Não,-3.0,True,1.0,Fênix Recuperação de Crédito,2026-02-07,88,15934.66,Acordo Firmado,88.0,Sul
PAG_0000011,CONTR_2026_01686,7,2025-02-13,2025-03-02,600,615.37,Pix,Não,17.0,False,1.0256166666666666,Acerta Crédito Integrado,2026-04-18,80,6842.75,Em Aberto,54.0,Nordeste
PAG_0000012,CONTR_2026_00770,43,2025-02-18,2025-02-13,850,850.0,Boleto,Sim,-5.0,True,1.0,Acerta Crédito Integrado,2026-02-16,122,1113445.0,Em Aberto,10.0,Nordeste
PAG_0000013,CONTR_2026_06950,60,2026-03-15,2026-03-11,600,600.0,Boleto,Não,-4.0,True,1.0,Fênix Recuperação de Crédito,2026-03-19,61,6082.26,Acordo Firmado,51.0,Norte
PAG_0000014,CONTR_2026_02434,42,2026-01-02,,600,0.0,Débito Automático,Sim,0.0,True,0.0,Vértice Asset & Cobrança,2026-03-05,83,2446.35,Acordo Firmado,36.0,Sudeste
PAG_0000015,CONTR_2026_05312,29,2025-05-25,2025-05-22,1500,1500.0,Pix,Não,-3.0,True,1.0,Nexus Mediação Financeira,2026-02-18,75,2376.93,Acordo Firmado,74.0,Sudeste
PAG_0000016,CONTR_2026_05052,34,2025-12-29,2025-12-24,450,450.0,Débito Automático,Não,-5.0,True,1.0,Acerta Crédito Integrado,2026-03-02,101,10399.03,Em Aberto,34.0,Norte
PAG_0000017,CONTR_2026_06421,7,2025-02-22,2025-02-21,450,450.0,Boleto,Não,-1.0,True,1.0,Vértice Asset & Cobrança ,2026-02-22,65,1205.02,Em Aberto,12.0,Nordeste
PAG_0000018,CONTR_2026_01185,31,2025-07-12,2025-07-11,850,850.0,Boleto,Sim,-1.0,True,1.0,Fênix Recuperação de Crédito,2026-04-28,149,12013.62,Em Aberto,26.0,Sudeste
PAG_0000019,CONTR_2026_04556,60,2025-01-15,2025-01-25,1500,1534.95,Boleto,Não,10.0,False,1.0233,Nexus Mediação Financeira,2026-04-22,99,10957.03,Acordo Firmado,37.0,Nordeste
PAG_0000020,CONTR_2026_03386,56,2025-05-24,2025-05-23,1500,1500.0,Pix,Não,-1.0,True,1.0,Acerta Crédito Integrado,2026-03-31,45,496945.0,Acordo Firmado,87.0,Sudeste
PAG_0000021,CONTR_2026_06397,1,2025-09-03,2025-09-23,850,872.61,Boleto,Não,20.0,False,1.0266,Vértice Asset & Cobrança,2026-03-20,139,8255.36,Acordo Firmado,73.0,Nordeste
PAG_0000022,CONTR_2026_08667,37,2025-09-09,2025-09-07,600,600.0,Pix,Não,-2.0,True,1.0,Acerta Crédito Integrado,2026-01-07,93,1804.08,Em Aberto,95.0,Sudeste
PAG_0000023,CONTR_2026_09275,26,2025-09-26,,600,0.0,Débito Automático,Sim,0.0,True,0.0,Acerta Crédito Integrado,2026-01-25,41,2193.85,Insucesso,52.0,Nordeste
PAG_0000024,CONTR_2026_02559,50,2025-08-04,2025-08-04,450,450.0,Pix,Não,0.0,True,1.0,Fênix Recuperação de Crédito,2026-02-27,90,2395.1,Em Aberto,68.0,Sudeste
PAG_0000025,CONTR_2026_07850,29,2025-02-04,2025-02-27,600,616.55,Débito Automático,Não,23.0,False,1.0275833333333333,Fênix Recuperação de Crédito,2026-02-24,95,1756.04,Em Aberto,16.0,Nordeste
PAG_0000026,CONTR_2026_02048,35,2025-07-09,2025-07-11,600,612.4,Pix,Não,2.0,False,1.0206666666666666,Acerta Crédito Integrado,2026-04-19,93,5412.72,Em Aberto,16.0,Sudeste
PAG_0000027,CONTR_2026_02748,37,2025-01-09,2025-02-21,450,465.39,Débito Automático,Não,43.0,False,1.0342,Fênix Recuperação de Crédito,2026-04-05,108,3871.66,Acordo Firmado,50.0,Centro-Oeste
PAG_0000028,CONTR_2026_09168,10,2025-11-20,2025-11-19,1200,1200.0,Pix,Não,-1.0,True,1.0,Fênix Recuperação de Crédito,2026-03-24,107,1343535.0,Insucesso,37.0,Sul
PAG_0000029,CONTR_2026_09999,5,2025-04-14,,600,0.0,Boleto,Sim,0.0,True,0.0,Vértice Asset & Cobrança,2026-01-04,55,82093.0,Acordo Firmado,40.0,Sudeste
PAG_0000030,CONTR_2026_00190,30,2025-06-11,2025-07-03,600,616.36,Boleto,Não,22.0,False,1.0272666666666668,Fênix Recuperação de Crédito,2026-03-13,81,16225.74,Acordo Firmado,43.0,Nordeste
